Modelo,Acuracia,Precision,Recall,F1-Score,AUC-ROC
Random Forest,0.7449308319120712,0.8071736785329018,0.8258830022075055,0.8164211674849973,0.7789305250070446
XGBoost,0.7263596740572295,0.7903569525839105,0.8187086092715232,0.8042830035239903,0.7598791881507834
XGBoost Tuned,0.7534584043964374,0.7553308419432843,0.9481236203090507,0.8408173253395326,0.7510959904328073
Regressao Logistica,0.7242751563388289,0.7576621525302922,0.8799668874172185,0.8142474147836078,0.714586262985621
