codmun,ano,is_top_100,regiao
140045,2010,0,Norte
140047,2007,0,Norte
140047,2010,0,Norte
140050,2007,0,Norte
140050,2010,0,Norte
140060,2007,0,Norte
140060,2010,0,Norte
140070,2007,0,Norte
140070,2010,0,Norte
150010,2007,0,Norte
150010,2010,0,Norte
150013,2007,0,Norte
150013,2010,0,Norte
150020,2007,0,Norte
150020,2010,0,Norte
150030,2007,0,Norte
150030,2010,0,Norte
150034,2007,0,Norte
150034,2010,0,Norte
150040,2007,0,Norte
150040,2010,0,Norte
150050,2007,0,Norte
150050,2010,0,Norte
150060,2007,0,Norte
150060,2010,0,Norte
150070,2007,0,Norte
150070,2010,0,Norte
150080,2007,1,Norte
150080,2010,1,Norte
150085,2007,0,Norte
150085,2010,0,Norte
150090,2007,0,Norte
150090,2010,0,Norte
150095,2007,0,Norte
150095,2010,0,Norte
150100,2007,0,Norte
150100,2010,0,Norte
150110,2007,0,Norte
150110,2010,0,Norte
150120,2007,0,Norte
150120,2010,0,Norte
150125,2007,0,Norte
150125,2010,0,Norte
150130,2007,0,Norte
150130,2010,0,Norte
150145,2007,0,Norte
150145,2010,0,Norte
150150,2007,0,Norte
150150,2010,0,Norte
150170,2007,0,Norte
150170,2010,0,Norte
150172,2007,0,Norte
150172,2010,0,Norte
150175,2007,0,Norte
150175,2010,0,Norte
150178,2007,0,Norte
150178,2010,0,Norte
150180,2007,0,Norte
150180,2010,0,Norte
150190,2007,0,Norte
150190,2010,0,Norte
150195,2007,0,Norte
150195,2010,0,Norte
150200,2007,0,Norte
150200,2010,0,Norte
150210,2007,0,Norte
150210,2010,0,Norte
150215,2007,0,Norte
150215,2010,0,Norte
150230,2007,0,Norte
150230,2010,0,Norte
150240,2007,0,Norte
150240,2010,0,Norte
150250,2007,0,Norte
150250,2010,0,Norte
150260,2007,0,Norte
150260,2010,0,Norte
150270,2007,0,Norte
150270,2010,0,Norte
150275,2007,0,Norte
150275,2010,0,Norte
150276,2007,0,Norte
150276,2010,0,Norte
150277,2007,0,Norte
150277,2010,0,Norte
150280,2007,0,Norte
150280,2010,0,Norte
150285,2007,0,Norte
150285,2010,0,Norte
